Date,Open,High,Low,Close,Volume,Name
2017-11-27,35.33,36.46,35.02,36.06,1774046,PDCO
2017-11-28,35.98,36.34,35.64,36.33,1907268,PDCO
2017-11-29,36.3,37.18,36.13,36.95,3482036,PDCO
2017-11-30,37.07,37.7,36.2,36.55,8090377,PDCO
2017-12-01,36.3,36.43,34.89,35.41,2861915,PDCO
2017-12-04,35.46,37.47,35.45,37.3,2551885,PDCO
2017-12-05,37.39,37.47,36.15,36.32,1341133,PDCO
2017-12-06,33.74,34.95,33.03,34.81,2821032,PDCO
2017-12-07,34.7,35.39,34.64,35.21,1656043,PDCO
2017-12-08,35.2,35.82,34.92,35.47,1614315,PDCO
2017-12-11,35.47,35.65,35.23,35.51,1222395,PDCO
2017-12-12,35.58,36.0,35.29,35.79,948363,PDCO
2017-12-13,35.83,36.39,35.49,35.99,1073900,PDCO
2017-12-14,35.85,35.97,35.07,35.12,2026153,PDCO
2017-12-15,35.63,37.6,35.18,36.5,5636436,PDCO
2017-12-18,36.72,37.11,36.08,36.71,2079000,PDCO
2017-12-19,36.88,38.09,36.88,37.43,1955414,PDCO
2017-12-20,37.43,37.80,36.38,36.51,2003189,PDCO
2017-12-21,36.62,36.76,36.02,36.31,1197697,PDCO
2017-12-22,36.3,36.43,36.12,36.25,714037,PDCO
2017-12-26,36.26,36.97,36.23,36.24,565260,PDCO
2017-12-27,36.33,36.6479,36.15,36.38,552450,PDCO
2017-12-28,36.39,36.43,36.06,36.42,745013,PDCO
2017-12-29,36.41,36.78,36.12,36.13,723885,PDCO
2018-01-02,36.55,38.01,36.44,37.88,1607605,PDCO
2018-01-03,37.85,37.92,36.95,37.23,1300755,PDCO
2018-01-04,37.46,37.56,37.27,37.47,1437617,PDCO
2018-01-05,37.5,37.8128,37.40,37.68,1241426,PDCO
2018-01-08,37.71,37.97,37.38,37.78,1855050,PDCO
2018-01-09,37.9,37.9,37.32,37.35,1505616,PDCO
2018-01-10,37.32,37.32,36.35,36.58,1261398,PDCO
2018-01-11,36.38,36.79,36.19,36.67,1653055,PDCO
2018-01-12,36.91,37.6,36.8,37.51,1550978,PDCO
2018-01-16,37.65,38.52,37.0249,38.13,1840817,PDCO
2018-01-17,38.32,38.32,36.65,36.85,1675398,PDCO
2018-01-18,36.75,37.0262,36.25,36.34,1195591,PDCO
2018-01-19,36.48,36.7,36.2,36.6,1809630,PDCO
