Date,Open,High,Low,Close,Adj Close,Volume
2020-06-03,23.799999,24.410000,22.410000,22.650000,22.650000,14422400
2020-06-04,22.760000,23.570000,22.570000,23.450001,23.450001,8066500
2020-06-05,23.650000,23.770000,22.580000,22.700001,22.700001,11864500
2020-06-08,22.900000,23.309999,22.650000,23.250000,23.250000,8831200
2020-06-09,23.270000,23.700001,22.650000,23.070000,23.070000,10156300
2020-06-10,23.150000,23.299999,22.510000,22.520000,22.520000,8452800
2020-06-12,21.990000,22.000000,21.200001,21.559999,21.559999,13105800
2020-06-15,21.000000,21.879999,20.670000,21.200001,21.200001,11426100
2020-06-16,21.799999,22.559999,21.590000,22.100000,22.100000,12149900
2020-06-17,22.370001,23.030001,22.270000,22.490000,22.490000,7694500
2020-06-18,22.459999,22.809999,22.150000,22.360001,22.360001,5761500
2020-06-19,22.660000,22.940001,22.260000,22.450001,22.450001,7459200
2020-06-22,22.700001,22.770000,21.830000,22.010000,22.010000,5298200
2020-06-23,22.309999,22.600000,21.910000,22.180000,22.180000,4696700
2020-06-24,22.150000,22.240000,21.309999,21.870001,21.870001,5991600
2020-06-25,21.750000,22.180000,21.629999,21.990000,21.990000,4028900
2020-06-26,21.879999,22.450001,21.350000,21.450001,21.450001,6343800
2020-06-29,21.490000,21.780001,20.340000,20.870001,20.870001,14925000
2020-06-30,20.850000,21.600000,20.670000,21.260000,21.260000,9862300
2020-07-01,21.100000,21.510000,20.500000,20.500000,20.500000,13470600
2020-07-02,20.780001,20.860001,20.100000,20.400000,20.400000,13683900
2020-07-03,20.299999,20.629999,20.139999,20.190001,20.190001,7885500
2020-07-06,20.389999,21.250000,20.280001,21.150000,21.150000,15803000
2020-07-07,20.940001,21.530001,20.469999,20.500000,20.500000,15120000
2020-07-08,20.750000,21.180000,20.600000,20.910000,20.910000,8302200
2020-07-09,21.000000,21.209999,20.670000,20.700001,20.700001,6841600
2020-07-10,20.670000,20.760000,20.469999,20.600000,20.600000,6746400
2020-07-13,20.750000,20.920000,20.080000,20.080000,20.080000,10645200
2020-07-14,20.080000,20.410000,19.850000,20.100000,20.100000,9646200
2020-07-15,20.430000,20.670000,20.110001,20.309999,20.309999,12250000
2020-07-16,20.299999,20.620001,20.020000,20.150000,20.150000,9567100
2020-07-17,20.350000,20.990000,20.080000,20.680000,20.680000,10841600
2020-07-20,20.790001,21.400000,20.650000,21.250000,21.250000,11472600
2020-07-21,21.430000,21.620001,20.730000,20.889999,20.889999,11525800
2020-07-22,20.799999,20.969999,20.320000,20.580000,20.580000,8468600
2020-07-23,20.650000,20.860001,20.230000,20.400000,20.400000,8807700
2020-07-24,20.280001,20.670000,20.010000,20.330000,20.330000,5900000
2020-07-27,20.410000,20.540001,19.910000,20.120001,20.120001,10352800
2020-07-28,20.129999,21.610001,19.980000,21.299999,21.299999,16476700
2020-07-29,21.459999,22.330000,21.400000,21.860001,21.860001,16468800
2020-07-30,21.730000,21.959999,21.049999,21.200001,21.200001,10788100
2020-07-31,0.000000,0.000000,0.000000,20.700001,20.700001,0
